Vehicle_Id,Date_Time,X,Y,Speed,Bearing
0,7/23/21 12:00 AM,-118.2021723,33.9717641,70,5.162
0,7/23/21 12:00 AM,-118.2021862,33.97171416,70,14.52
0,7/23/21 12:00 AM,-118.2022048,33.97165603,70,22.343
0,7/23/21 12:00 AM,-118.2022093,33.97157959,70,31.077
0,7/23/21 12:00 AM,-118.2022588,33.97148196,70,38.406
0,7/23/21 12:00 AM,-118.2022753,33.97136483,70,47.121
0,7/23/21 12:00 AM,-118.2022877,33.97123336,70,48.951
0,7/23/21 12:00 AM,-118.2022632,33.97113006,70,48.524
0,7/23/21 12:00 AM,-118.2021787,33.9710247,70,48.503
0,7/23/21 12:00 AM,-118.2021303,33.97091098,70,50.706
0,7/23/21 12:00 AM,-118.2020433,33.97078597,70,50.001
0,7/23/21 12:00 AM,-118.2019921,33.9706832,70,52.867
0,7/23/21 12:00 AM,-118.2019093,33.97057309,70,49.939
0,7/23/21 12:00 AM,-118.2018483,33.97045508,70,51.75
0,7/23/21 12:00 AM,-118.201796,33.97035966,70,49.358
0,7/23/21 12:00 AM,-118.2017511,33.97023802,70,51.996
0,7/23/21 12:00 AM,-118.2016396,33.97010766,70,52.907
0,7/23/21 12:00 AM,-118.2015886,33.96999743,70,51.128
0,7/23/21 12:00 AM,-118.2014958,33.96988408,70,50.783
0,7/23/21 12:00 AM,-118.2014402,33.96975177,70,49.98
0,7/23/21 12:00 AM,-118.2013621,33.96966772,70,49.469
0,7/23/21 12:00 AM,-118.2012769,33.96955619,70,50.989
0,7/23/21 12:00 AM,-118.20119,33.96942444,70,48.952
0,7/23/21 12:00 AM,-118.2011248,33.96935714,70,50.113
0,7/23/21 12:00 AM,-118.2010354,33.96922816,70,52.25
0,7/23/21 12:00 AM,-118.2009352,33.96912924,70,48.796
0,7/23/21 12:00 AM,-118.2008768,33.96902482,70,52.495
0,7/23/21 12:00 AM,-118.2007905,33.96891646,70,51.104
0,7/23/21 12:00 AM,-118.2006996,33.96882235,70,49.504
0,7/23/21 12:00 AM,-118.2006017,33.9687265,70,51.971
0,7/23/21 12:00 AM,-118.2005189,33.96858498,70,51.889
0,7/23/21 12:00 AM,-118.2004453,33.96848964,70,50.756
0,7/23/21 12:00 AM,-118.2003558,33.96838674,70,50.628
0,7/23/21 12:00 AM,-118.200274,33.9682854,70,50.116
0,7/23/21 12:00 AM,-118.2001723,33.96816726,70,52.816
0,7/23/21 12:00 AM,-118.2000723,33.96807473,70,51.801
0,7/23/21 12:00 AM,-118.1999867,33.96798292,70,52.869
0,7/23/21 12:00 AM,-118.1998977,33.96787219,70,50.648
0,7/23/21 12:00 AM,-118.1998112,33.96776927,70,48.451
0,7/23/21 12:00 AM,-118.1997038,33.96769038,70,49.907
0,7/23/21 12:00 AM,-118.1996081,33.96757491,70,51.349
0,7/23/21 12:00 AM,-118.1995365,33.96747121,70,49.533
0,7/23/21 12:00 AM,-118.1994075,33.96737896,70,49.999
0,7/23/21 12:00 AM,-118.1993084,33.96729432,70,49.711
0,7/23/21 12:00 AM,-118.1992115,33.96719247,70,50.869
0,7/23/21 12:00 AM,-118.1991152,33.96711056,70,52.072
0,7/23/21 12:00 AM,-118.1990107,33.96700641,70,51.054
0,7/23/21 12:00 AM,-118.1988965,33.96692088,70,48.692
0,7/23/21 12:00 AM,-118.1988214,33.96681523,70,50.033
0,7/23/21 12:00 AM,-118.1987169,33.96672581,70,52.959
0,7/23/21 12:00 AM,-118.1985846,33.96664759,70,49.655
0,7/23/21 12:00 AM,-118.1984988,33.96655377,70,51.908
0,7/23/21 12:00 AM,-118.1983967,33.96645524,70,48.505
0,7/23/21 12:00 AM,-118.1982865,33.96635605,70,50.248
0,7/23/21 12:00 AM,-118.1981909,33.96627221,70,49.4
0,7/23/21 12:00 AM,-118.1980723,33.96616945,70,50.693
0,7/23/21 12:00 AM,-118.1979399,33.96610208,70,51.544
0,7/23/21 12:00 AM,-118.1978502,33.96601868,70,49.424
0,7/23/21 12:00 AM,-118.1977513,33.96592477,70,49.671
0,7/23/21 12:01 AM,-118.197645,33.96585545,70,48.357
0,7/23/21 12:01 AM,-118.1975325,33.96574368,70,51.078
0,7/23/21 12:01 AM,-118.1974246,33.9656602,70,51.72
0,7/23/21 12:01 AM,-118.1973192,33.96555329,70,51.461
